movie_title,comb
the blue lagoon,adventure drama romance randal kleiser brooke shields  christopher atkins  leo mckern
the shining,drama horror stanley kubrick jack nicholson  shelley duvall  danny lloyd
star wars: episode v - the empire strikes back,action adventure fantasy irvin kershner mark hamill  harrison ford  carrie fisher
airplane!,comedy jim abrahams david zucker jerry zucker robert hays  julie hagerty  leslie nielsen
caddyshack,comedy sport harold ramis chevy chase  rodney dangerfield  bill murray
raging bull,biography drama sport martin scorsese robert de niro  cathy moriarty  joe pesci
the blues brothers,action adventure comedy john landis john belushi  dan aykroyd  cab calloway
cannibal holocaust,adventure horror ruggero deodato robert kerman  francesca ciardi  perry pirkanen
friday the 13th,horror mystery thriller sean s. cunningham betsy palmer  adrienne king  jeannine taylor
the elephant man,biography drama david lynch anthony hopkins  john hurt  anne bancroft
ordinary people,drama robert redford donald sutherland  mary tyler moore  judd hirsch
stir crazy,comedy crime sidney poitier gene wilder  richard pryor  georg stanford brown
tender cousins,comedy drama romance david hamilton thierry tevini  anja schüte  valérie dumas
the fog,horror thriller john carpenter adrienne barbeau  jamie lee curtis  janet leigh
dressed to kill,crime drama mystery brian de palma michael caine  angie dickinson  nancy allen
flash gordon,action adventure sci-fi mike hodges sam j. jones  melody anderson  max von sydow
fame,drama music musical alan parker eddie barth  irene cara  lee curreri
popeye,adventure comedy family robert altman robin williams  shelley duvall  ray walston
nine to five,comedy colin higgins jane fonda  lily tomlin  dolly parton
urban cowboy,drama romance western james bridges john travolta  debra winger  scott glenn
the final countdown,action adventure sci-fi don taylor kirk douglas  martin sheen  katharine ross
little darlings,comedy drama ron maxwell tatum o'neal  kristy mcnichol  armand assante
american gigolo,crime drama mystery paul schrader richard gere  lauren hutton  hector elizondo
somewhere in time,drama fantasy romance jeannot szwarc christopher reeve  jane seymour  christopher plummer
any which way you can,action comedy buddy van horn clint eastwood  sondra locke  geoffrey lewis
the gods must be crazy,adventure comedy jamie uys n!xau  marius weyers  sandra prinsloo
cruising,crime drama mystery william friedkin al pacino  paul sorvino  karen allen
heaven's gate,adventure drama western michael cimino kris kristofferson  christopher walken  john hurt
tanya's island,drama alfred sole vanity  richard sargent  mariette lévesque
used cars,comedy robert zemeckis kurt russell  jack warden  gerrit graham
alligator,horror sci-fi thriller lewis teague robert forster  robin riker  michael v. gazzo
altered states,horror sci-fi thriller ken russell william hurt  blair brown  bob balaban
private benjamin,comedy war howard zieff goldie hawn  eileen brennan  armand assante
xanadu,fantasy musical romance robert greenwald olivia newton-john  gene kelly  michael beck
the changeling,horror mystery peter medak george c. scott  trish van devere  melvyn douglas
battle beyond the stars,action adventure sci-fi jimmy t. murakami roger corman george peppard  robert vaughn  richard thomas
the long riders,biography crime western walter hill david carradine  stacy keach  dennis quaid
smokey and the bandit ii,action adventure comedy hal needham burt reynolds  jackie gleason  jerry reed
new year's evil,horror thriller emmett alston roz kelly  kip niven  chris wallace
kagemusha,drama history war akira kurosawa tatsuya nakadai  tsutomu yamazaki  ken'ichi hagiwara
the long good friday,crime drama mystery john mackenzie bob hoskins  helen mirren  paul freeman
sällskapsresan eller finns det svenskt kaffe på grisfesten,comedy lasse åberg lasse åberg  lottie ejebrant  jon skolmen
terror train,horror mystery thriller roger spottiswoode ben johnson  jamie lee curtis  hart bochner
inferno,horror dario argento leigh mccloskey  irene miracle  eleonora giorgi
maniac,crime drama horror william lustig joe spinell  caroline munro  abigail clayton
eaten alive!,adventure horror umberto lenzi robert kerman  janet agren  ivan rassimov
saturn 3,adventure horror sci-fi stanley donen john barry farrah fawcett  kirk douglas  harvey keitel
prom night,horror mystery thriller paul lynch leslie nielsen  jamie lee curtis  casey stevens
the hollywood knights,comedy floyd mutrux tony danza  michelle pfeiffer  julius averitt
my bodyguard,comedy drama family tony bill chris makepeace  adam baldwin  matt dillon
out of the blue,drama dennis hopper linda manz  dennis hopper  sharon farrell
the hunter,action biography comedy buzz kulik steve mcqueen  eli wallach  kathryn harrold
midnight madness,comedy michael nankin david wechter david naughton  debra clinger  joel kenney
humanoids from the deep,horror sci-fi barbara peeters jimmy t. murakami doug mcclure  ann turkel  vic morrow
coal miner's daughter,biography drama music michael apted sissy spacek  tommy lee jones  levon helm
cheech and chong's next movie,comedy crime sci-fi tommy chong cheech marin  tommy chong  evelyn guerrero
forbidden zone,comedy fantasy musical richard elfman gene cunningham  marie-pascale elfman  virginia rose
breaker morant,drama history war bruce beresford edward woodward  jack thompson  john waters
brubaker,crime drama stuart rosenberg robert redford  yaphet kotto  morgan freeman
spetters,drama romance sport paul verhoeven hans van tongeren  renée soutendijk  toon agterberg
the octagon,action drama romance eric karson chuck norris  karen carlson  lee van cleef
christmas evil,horror thriller lewis jackson brandon maggart  jeffrey demunn  dianne hull
lion of the desert,biography drama history moustapha akkad anthony quinn  oliver reed  rod steiger
the exterminator,action crime drama james glickenhaus robert ginty  samantha eggar  christopher george
death ship,adventure horror mystery alvin rakoff george kennedy  richard crenna  nick mancuso
galaxina,comedy sci-fi william sachs stephen macht  avery schreiber  j.d. hinton
the ninth configuration,comedy drama horror william peter blatty stacy keach  scott wilson  jason miller
motel hell,comedy horror thriller kevin connor rory calhoun  paul linke  nancy parsons
up the academy,comedy robert downey sr. ron leibman  wendell brown  ralph macchio
the party,comedy drama romance claude pinoteau claude brasseur  brigitte fossey  sophie marceau
the watcher in the woods,family horror mystery john hough vincent mceveety bette davis  lynn-holly johnson  kyle richards
"emanuelle, queen of sados",crime drama ilias mylonakos laura gemser  gabriele tinti  livia russo
fade to black,comedy crime horror vernon zimmerman dennis christopher  tim thomerson  gwynne gilford
anthropophagus: the grim reaper,horror joe d'amato tisa farrow  saverio vallone  serena grandi
the mirror crack'd,crime mystery thriller guy hamilton angela lansbury  tony curtis  rock hudson
super fuzz,action comedy fantasy sergio corbucci terence hill  ernest borgnine  joanne dru
melvin and howard,comedy drama jonathan demme paul le mat  jason robards  elizabeth cheshire
the big red one,drama war samuel fuller lee marvin  mark hamill  robert carradine
superman ii: the richard donner cut,action adventure romance richard donner richard lester gene hackman  christopher reeve  marlon brando
the last metro,drama romance war françois truffaut catherine deneuve  gérard depardieu  jean poiret
city of the living dead,horror lucio fulci christopher george  catriona maccoll  carlo de mejo
barnens ö,drama romance kay pollak tomas fryk  anita ekström  ingvar hirdwall
to all a goodnight,horror mystery thriller david hess jennifer runyon  forrest swonsen  linda gentile
raise the titanic,action drama thriller jerry jameson jason robards  richard jordan  david selby
stardust memories,comedy drama woody allen woody allen  charlotte rampling  jessica harper
the stunt man,action comedy drama richard rush peter o'toole  steve railsback  barbara hershey
foxes,drama adrian lyne jodie foster  cherie currie  marilyn kagan
house on the edge of the park,horror thriller ruggero deodato david hess  annie belle  christian borromeo
north sea hijack,action adventure thriller andrew v. mclaglen roger moore  james mason  anthony perkins
can't stop the music,biography comedy musical nancy walker ray simpson  david hodo  felipe rose
hopscotch,adventure comedy ronald neame walter matthau  glenda jackson  sam waterston
seems like old times,comedy romance jay sandrich goldie hawn  chevy chase  charles grodin
the dogs of war,action adventure drama john irvin christopher walken  tom berenger  colin blakely
bad timing: a sensual obsession,drama mystery thriller nicolas roeg art garfunkel  theresa russell  harvey keitel
he knows you're alone,horror thriller armand mastroianni don scardino  caitlin o'heaney  elizabeth kemp
city of women,comedy drama fantasy federico fellini marcello mastroianni  anna prucnal  bernice stegers
atlantic city,crime drama romance louis malle burt lancaster  susan sarandon  kate reid
where the buffalo roam,biography comedy art linson peter boyle  bill murray  bruno kirby
shogun assassin,action adventure robert houston kenji misumi tomisaburô wakayama  kayo matsuo  minoru ôki
gregory's girl,comedy drama romance bill forsyth john gordon sinclair  dee hepburn  jake d'arcy
the jazz singer,drama music romance richard fleischer sidney j. furie laurence olivier  neil diamond  lucie arnaz
the nude bomb,action comedy crime clive donner don adams  andrea howard  sylvia kristel
the sea wolves,action history war andrew v. mclaglen gregory peck  roger moore  david niven
moscow does not believe in tears,comedy drama romance vladimir menshov vera alentova  aleksey batalov  irina muravyova
carny,drama robert kaylor gary busey  jodie foster  robbie robertson
pixote,crime drama hector babenco fernando ramos da silva  jorge julião  gilberto moura
battle creek brawl,action comedy crime robert clouse jackie chan  kristine debell  josé ferrer
tom horn,biography crime drama william wiard steve mcqueen  linda evans  richard farnsworth
permanent vacation,comedy drama jim jarmusch chris parker  leila gastil  john lurie
the awakening,horror mike newell charlton heston  susannah york  jill townsend
night of the demon,horror james c. wasson eugene dow  joy allen  don hurst
the private eyes,comedy mystery lang elliott tim conway  don knotts  trisha noble
without warning,horror sci-fi thriller greydon clark jack palance  martin landau  tarah nutter
times square,drama music allan moyle tim curry  trini alvarado  robin johnson
how to beat the high cost of living,comedy crime robert scheerer susan saint james  jane curtin  jessica lange
the apple,music musical sci-fi menahem golan catherine mary stewart  george gilmour  grace kennedy
the mountain men,adventure western richard lang charlton heston  brian keith  victoria racimo
contamination,horror sci-fi luigi cozzi ian mcculloch  louise marleau  marino masé
hell of the living dead,horror sci-fi thriller bruno mattei claudio fragasso margie newton  franco garofalo  selan karay
hawk the slayer,adventure fantasy terry marcel jack palance  john terry  bernard bresslaw
bronco billy,action adventure comedy clint eastwood clint eastwood  sondra locke  geoffrey lewis
the island,action adventure drama michael ritchie michael caine  david warner  angela punch mcgregor
nightmare city,horror sci-fi thriller umberto lenzi hugo stiglitz  laura trotter  maria rosaria omaggio
a change of seasons,comedy drama richard lang noel black shirley maclaine  anthony hopkins  bo derek
the night of the hunted,drama horror mystery jean rollin brigitte lahaie  alain duclos  dominique journet
when time ran out...,action adventure drama james goldstone paul newman  jacqueline bisset  william holden
the boogey man,horror ulli lommel suzanna love  john carradine  ron james
my american uncle,comedy drama romance alain resnais gérard depardieu  nicole garcia  roger pierre
milka: elokuva tabuista,drama rauni mollberg irma huntus  leena suomu  matti turunen
who's singin' over there?,adventure comedy drama slobodan sijan pavle vuisic  dragan nikolic  danilo 'bata' stojkovic
honeysuckle rose,drama music romance jerry schatzberg willie nelson  dyan cannon  amy irving
il bisbetico domato,comedy romance franco castellano giuseppe moccia adriano celentano  ornella muti  edith peters
borderline,action drama jerrold freedman charles bronson  bruno kirby  bert remsen
the children,horror sci-fi max kalmanowicz martin shakar  gil rogers  gale garnett
hangar 18,sci-fi james l. conway darren mcgavin  robert vaughn  gary collins
zombie holocaust,horror marino girolami ian mcculloch  alexandra delli colli  sherry buchanan
the rascals,comedy bernard revon bernard brieux  thomas chabrol  pascale rocard
hotel paradise,action adventure drama edoardo mulargia anthony steffen  ajita wilson  cristina lay
hussy,drama matthew chapman helen mirren  john shea  paul angelis
virus: the end,adventure drama horror kinji fukasaku masao kusakari  tsunehiko watase  isao natsuyagi
the fiendish plot of dr. fu manchu,comedy crime fantasy piers haggard richard quine peter sellers peter sellers  helen mirren  david tomlinson
it's my turn,comedy drama claudia weill jill clayburgh  michael douglas  charles grodin
inside moves,comedy drama romance richard donner john savage  david morse  diana scarwid
the competition,drama romance music joel oliansky richard dreyfuss  amy irving  lee remick
fatso,comedy drama romance anne bancroft dom deluise  anne bancroft  ron carey
herbie goes bananas,adventure comedy family vincent mceveety charles martin smith  stephen w. burns  cloris leachman
caged women,adventure action erwin c. dietrich karine gambier  brigitte lahaie  nadine pascal
devil hunter,horror jesús franco ursula buchfellner  al cliver  antonio mayans
cattle annie and little britches,drama western lamont johnson scott glenn  redmond gleeson  william russ
death watch,drama sci-fi thriller bertrand tavernier romy schneider  harvey keitel  harry dean stanton
the earthling,adventure drama peter collinson william holden  ricky schroder  jack thompson
wholly moses!,comedy fantasy gary weis dudley moore  laraine newman  james coco
gorp,comedy joseph ruben michael lembeck  dennis quaid  philip casnoff
the unseen,horror thriller danny steinmann barbara bach  karen lamm  stephen furst
the true story of the nun of monza,drama bruno mattei zora kerova  mario cutini  paola corazzi
don't answer the phone!,horror thriller robert hammer james westmoreland  ben frank  flo lawrence
the chain reaction,action drama sci-fi ian barry steve bisley  arna-maria winchester  ross thompson
defiance,action crime drama john flynn jan-michael vincent  theresa saldana  danny aiello
oh heavenly dog,comedy crime fantasy joe camp chevy chase  jane seymour  benjean
the return,mystery sci-fi thriller greydon clark jan-michael vincent  cybill shepherd  martin landau
scared to death,horror sci-fi william malone john stinson  diana davidson  david moses
the young master,action adventure comedy jackie chan jackie chan  pai wei  biao yuen
night games,drama roger vadim cindy pickett  barry primus  joanna cassidy
windwalker,adventure drama western kieth merrill trevor howard  nick ramus  james remar
nightkill,crime horror mystery ted post robert mitchum  jaclyn smith  mike connors
just tell me what you want,comedy romance sidney lumet ali macgraw  alan king  myrna loy
blood beach,comedy horror sci-fi jeffrey bloom david huffman  marianna hill  burt young
mcvicar,crime drama tom clegg roger daltrey  adam faith  cheryl campbell
vicious and nude,drama thriller manuel esteba jack taylor  adriana vega  eva lyberten
schizoid,drama horror mystery david paulsen klaus kinski  donna wilkes  marianna hill
patrick still lives,crime horror sci-fi mario landi sacha pitoëff  gianni dei  mariangela giordano
harlequin,drama fantasy horror simon wincer robert powell  david hemmings  carmen duncan
animalympics,animation comedy family steven lisberger gilda radner  billy crystal  harry shearer
cannibals in the streets,horror thriller antonio margheriti john saxon  elizabeth turner  giovanni lombardo radice
lulu,drama walerian borowczyk anne bennent  michele placido  jean-jacques delbo
the pumaman,action adventure family alberto de martino walter george alton  donald pleasence  miguel ángel fuentes
the first deadly sin,crime thriller brian g. hutton frank sinatra  faye dunaway  david dukes
girl with the golden panties,drama thriller vicente aranda victoria abril  lautaro murúa  hilda vera
wicked memoirs of eugenie,drama jesús franco katja bienert  mabel escaño  antonio mayans
alien 2: on earth,adventure horror sci-fi ciro ippolito biagio proietti belinda mayne  mark bodin  roberto barrese
the formula,crime thriller john g. avildsen george c. scott  marlon brando  marthe keller
roadie,comedy music alan rudolph meat loaf  kaki hunter  art carney
rough cut,adventure comedy crime don siegel peter r. hunt robert ellis miller burt reynolds  lesley-anne down  david niven
serial,comedy bill persky martin mull  tuesday weld  jennifer mcallister
babylon,drama franco rosso david n. haynes  trevor laird  victor romero evans
the idolmaker,biography drama music taylor hackford ray sharkey  tovah feldshuh  peter gallagher
schoolgirl report vol. 13: don't forget love during sex,comedy drama walter boos katja bienert  manuela kohlhofer  sylvia engelmann
breaking glass,drama musical brian gibson phil daniels  hazel o'connor  jon finch
the happy hooker goes hollywood,comedy alan roberts martine beswick  chris lemmon  adam west
every man for himself,drama jean-luc godard isabelle huppert  jacques dutronc  nathalie baye
the secret life of nikola tesla,biography drama krsto papic petar bozovic  orson welles  oja kodar
macabre,horror lamberto bava bernice stegers  stanko molnar  veronica zinny
hero at large,comedy romance martin davidson john ritter  anne archer  bert convy
"pepi, luci, bom and other girls like mom",comedy pedro almodóvar carmen maura  félix rotaeta  alaska
stage fright,horror thriller john d. lamond jenny neumann  gary sweet  nina landis
fists of the white lotus,action drama lieh lo chia-hui liu  lieh lo  lung-wei wang
goodbye pork pie,action adventure comedy geoff murphy tony barry  kelly johnson  claire oberman
the black marble,comedy crime drama harold becker robert foxworth  paula prentiss  harry dean stanton
piedone d'egitto,action comedy crime steno bud spencer  enzo cannavale  baldwyn dakile
night of the juggler,action crime drama robert butler sidney j. furie james brolin  cliff gorman  richard s. castellano
secrets of a french maid,comedy erwin c. dietrich karine gambier  brigitte lahaie  pascale vital
game of death ii,action crime mystery see-yuen ng sammo kam-bo hung corey yuen bruce lee  tae-jeong kim  jang-lee hwang
coast to coast,comedy drama romance joseph sargent dyan cannon  robert blake  quinn k. redeker
taxi zum klo,comedy drama romance frank ripploh frank ripploh  bernd broaderup  orpha termin
loulou,drama romance maurice pialat isabelle huppert  gérard depardieu  guy marchand
blow job,drama horror mystery alberto cavallone danilo micheli  andrea belfiore  anna bruna cazzato
le coeur à l'envers,comedy drama franck apprederis annie girardot  laurent malet  charles denner
the man with bogart's face,comedy crime mystery robert day robert sacchi  franco nero  michelle phillips
deadline,drama horror thriller mario azzopardi stephen young  sharon masters  marvin goldhar
heart beat,drama john byrum nick nolte  sissy spacek  john heard
"oh, god! book ii",comedy fantasy gilbert cates george burns  suzanne pleshette  david birney
little miss marker,comedy drama romance walter bernstein walter matthau  julie andrews  tony curtis
os sete gatinhos,comedy drama neville de almeida antônio fagundes  ana maria magalhães  lima duarte
cabo blanco,action adventure crime j. lee thompson charles bronson  jason robards  dominique sanda
high test girls,comedy fantasy erwin c. dietrich brigitte lahaie  jane baker  nadine pascal
willie & phil,comedy drama romance paul mazursky michael ontkean  margot kidder  ray sharkey
the great rock 'n' roll swindle,music julien temple malcolm mclaren  sid vicious  steve jones
the last flight of noah's ark,adventure family charles jarrott elliott gould  geneviève bujold  ricky schroder
escape from hell,adventure crime thriller edoardo mulargia anthony steffen  ajita wilson  cristina lay
ruckus,action drama thriller max kleven dirk benedict  linda blair  richard farnsworth
rising damp,comedy romance joseph mcgrath leonard rossiter  frances de la tour  don warrington
la ragazza del vagone letto,drama thriller ferdinando baldi silvia dionisio  werner pochath  zora kerova
treasures of the snow,drama mike pritchard paul dean  carey born  timothy fleetwood
all that jack's,comedy drama goran markovic semka sokolovic-bertok  bogdan diklic  snezana niksic
le voyage en douce,comedy drama michel deville dominique sanda  geraldine chaplin  jacques zabor
the wildcats of st. trinian's,comedy frank launder sheila hancock  michael hordern  joe melia
two female spies with flowered panties,thriller jesús franco lina romay  nadine pascal  olivier mathot
encounter of the spooky kind,action comedy fantasy sammo kam-bo hung sammo kam-bo hung  fat chung  lung chan
les sous-doués,comedy claude zidi michel galabru  maria pacôme  daniel auteuil
the garage,comedy drama eldar ryazanov alla budnitskaya  eldar ryazanov  lyudmila tsvetkova
union city,comedy drama mystery marcus reichert dennis lipscomb  debbie harry  sam mcmurray
nothing personal,comedy george bloomfield donald sutherland  suzanne somers  lawrence dane
the hearse,drama horror thriller george bowers trish van devere  joseph cotten  david gautreaux
three men to kill,thriller jacques deray alain delon  dalila di lazzaro  michel auclair
tusk,drama alejandro jodorowsky cyrielle clair  anton diffring  serge merlin
return to the 36th chamber,action comedy chia-liang liu chia-hui liu  lung-wei wang  hou hsiao
la terrazza,comedy drama ettore scola vittorio gassman  ugo tognazzi  jean-louis trintignant
the last married couple in america,comedy gilbert cates george segal  natalie wood  richard benjamin
"bon voyage, charlie brown (and don't come back!!)",animation adventure comedy bill melendez phil roman scott beach  bill melendez  daniel anderson
gilda live,comedy mike nichols lorne michaels gilda radner  don novello  paul shaffer
madness,action crime drama fernando di leo joe dallesandro  lorraine de selle  patrizia behn
friendship,action crime drama raj khosla amitabh bachchan  shatrughan sinha  zeenat aman
touched by love,drama gus trikonis deborah raffin  diane lane  michael learned
un sacco bello,comedy carlo verdone carlo verdone  renato scarpa  verónica miriel
egon schiele: excess and punishment,biography drama herbert vesely mathieu carrière  jane birkin  christine kaufmann
windows,drama thriller gordon willis talia shire  joe cortese  elizabeth ashley
demented,drama horror thriller arthur jeffreys sallee young  harry reems  deborah alter
cannibal terror,crime drama horror alain deruelle olivier mathot julio pérez tabernero silvia solar  gérard lemaire  pamela stanford
everything happens to me,action comedy family michele lupo bud spencer  cary guffey  ferruccio amendola
desideria,drama gianni barcelloni stefania sandrelli  lara wendel  klaus löwitsch
on a volé la cuisse de jupiter,comedy philippe de broca annie girardot  philippe noiret  francis perrin
